timestamp,cps,cps_err,usv_hr
1776295846.454429,2.0,0.6324555320336759,0.025068
1776295848.4801621,2.8,0.7483314773547882,0.0350952
1776295850.5216393,3.2,0.8,0.0401088
1776295852.5372722,1.8,0.6,0.0225612
1776295854.55082,2.0,0.6324555320336759,0.025068
1776295856.5888295,2.4,0.6928203230275509,0.0300816
1776295858.602613,2.2,0.6633249580710799,0.027574800000000003
1776295860.6228685,1.6,0.565685424949238,0.0200544
1776295862.643747,2.4,0.6928203230275509,0.0300816
1776295864.6567233,0.8,0.4,0.0100272
1776295866.682195,2.8,0.7483314773547882,0.0350952
1776295868.6991246,2.4,0.6928203230275509,0.0300816
1776295870.6697595,1.4,0.5291502622129182,0.0175476
1776295872.7334862,1.2,0.4898979485566356,0.0150408
1776295874.7446535,1.8,0.6,0.0225612
1776295876.775652,0.8,0.4,0.0100272
1776295878.7881372,2.0,0.6324555320336759,0.025068
1776295880.8073,2.8,0.7483314773547882,0.0350952
1776295882.810371,3.4,0.8246211251235321,0.0426156
1776295884.8208084,1.4,0.5291502622129182,0.0175476
1776295886.8522327,2.6,0.7211102550927978,0.032588400000000003
1776295888.845639,1.8,0.6,0.0225612
1776295890.8758903,1.4,0.5291502622129182,0.0175476
1776295892.8933823,2.2,0.6633249580710799,0.027574800000000003
1776295894.9261472,1.6,0.565685424949238,0.0200544
1776295896.9480596,2.4,0.6928203230275509,0.0300816
1776295898.9618332,1.8,0.6,0.0225612
1776295900.9588087,2.6,0.7211102550927978,0.032588400000000003
1776295902.9796124,2.6,0.7211102550927978,0.032588400000000003
1776295905.0032876,2.8,0.7483314773547882,0.0350952
1776295907.0370302,1.4,0.5291502622129182,0.0175476
1776295909.0487742,1.6,0.565685424949238,0.0200544
1776295911.0806046,1.4,0.5291502622129182,0.0175476
1776295913.0941625,2.8,0.7483314773547882,0.0350952
1776295915.1207871,1.8,0.6,0.0225612
1776295917.1519105,2.6,0.7211102550927978,0.032588400000000003
1776295919.164544,2.8,0.7483314773547882,0.0350952
1776295921.1936092,3.2,0.8,0.0401088
1776295923.179625,2.6,0.7211102550927978,0.032588400000000003
1776295925.1977134,2.6,0.7211102550927978,0.032588400000000003
1776295927.2151122,2.2,0.6633249580710799,0.027574800000000003
1776295929.2457569,1.0,0.447213595499958,0.012534
1776295931.2651317,2.2,0.6633249580710799,0.027574800000000003
1776295933.2799823,1.8,0.6,0.0225612
1776295935.3207564,2.8,0.7483314773547882,0.0350952
1776295937.3308752,3.2,0.8,0.0401088
1776295939.3232179,3.0,0.7745966692414834,0.037602
1776295941.3693345,1.2,0.4898979485566356,0.0150408
1776295943.3846495,4.0,0.894427190999916,0.050136
1776295945.3855805,1.2,0.4898979485566356,0.0150408
1776295947.4062355,1.4,0.5291502622129182,0.0175476
1776295949.4253678,2.0,0.6324555320336759,0.025068
1776295951.4608154,2.2,0.6633249580710799,0.027574800000000003
1776295953.473049,1.4,0.5291502622129182,0.0175476
1776295955.5083373,1.4,0.5291502622129182,0.0175476
1776295957.499154,2.4,0.6928203230275509,0.0300816
1776295959.540888,2.0,0.6324555320336759,0.025068
1776295961.5479462,4.0,0.894427190999916,0.050136
1776295963.5655873,2.0,0.6324555320336759,0.025068
1776295965.5847514,1.0,0.447213595499958,0.012534
1776295967.5730636,3.0,0.7745966692414834,0.037602
1776295969.6391473,1.4,0.5291502622129182,0.0175476
1776295971.6176789,1.2,0.4898979485566356,0.0150408
1776295973.631224,1.0,0.447213595499958,0.012534
1776295975.656921,2.8,0.7483314773547882,0.0350952
1776295977.6887307,2.4,0.6928203230275509,0.0300816
1776295979.7023182,1.8,0.6,0.0225612
1776295981.721711,3.6,0.8485281374238569,0.0451224
1776295983.7667923,2.4,0.6928203230275509,0.0300816
1776295985.7385488,1.8,0.6,0.0225612
1776295987.7634048,2.4,0.6928203230275509,0.0300816
1776295989.7973151,2.0,0.6324555320336759,0.025068
1776295991.8289676,1.4,0.5291502622129182,0.0175476
1776295993.8419952,1.8,0.6,0.0225612
1776295995.8409882,2.2,0.6633249580710799,0.027574800000000003
1776295997.8644614,2.0,0.6324555320336759,0.025068
1776295999.8810265,3.0,0.7745966692414834,0.037602
1776296001.9130816,1.8,0.6,0.0225612
1776296003.9303215,3.6,0.8485281374238569,0.0451224
1776296005.9701362,2.8,0.7483314773547882,0.0350952
1776296007.9913077,2.6,0.7211102550927978,0.032588400000000003
1776296010.01486,2.6,0.7211102550927978,0.032588400000000003
1776296012.004689,2.2,0.6633249580710799,0.027574800000000003
1776296014.0150843,2.4,0.6928203230275509,0.0300816
1776296016.0435824,1.6,0.565685424949238,0.0200544
1776296018.0792205,3.4,0.8246211251235321,0.0426156
1776296020.10045,2.4,0.6928203230275509,0.0300816
1776296022.1179872,2.4,0.6928203230275509,0.0300816
1776296024.1401434,0.8,0.4,0.0100272
1776296026.1596563,2.2,0.6633249580710799,0.027574800000000003
1776296028.1784027,1.4,0.5291502622129182,0.0175476
1776296030.2002494,3.8,0.8717797887081348,0.0476292
1776296032.218831,3.6,0.8485281374238569,0.0451224
1776296034.197566,1.6,0.565685424949238,0.0200544
1776296036.2239044,2.0,0.6324555320336759,0.025068
1776296038.2565773,2.2,0.6633249580710799,0.027574800000000003
1776296040.2857914,2.4,0.6928203230275509,0.0300816
1776296042.3019564,3.4,0.8246211251235321,0.0426156
1776296044.3187099,3.0,0.7745966692414834,0.037602
1776296046.3014956,2.2,0.6633249580710799,0.027574800000000003
1776296048.365126,4.4,0.938083151964686,0.05514960000000001
1776296050.388498,3.4,0.8246211251235321,0.0426156
1776296052.4032884,3.0,0.7745966692414834,0.037602
1776296054.3812263,2.6,0.7211102550927978,0.032588400000000003
1776296056.4070446,2.4,0.6928203230275509,0.0300816
1776296058.419831,3.6,0.8485281374238569,0.0451224
1776296060.4569802,1.8,0.6,0.0225612
1776296062.4750047,3.6,0.8485281374238569,0.0451224
1776296064.4880419,2.6,0.7211102550927978,0.032588400000000003
1776296066.513752,3.2,0.8,0.0401088
1776296068.5293345,2.2,0.6633249580710799,0.027574800000000003
1776296070.5723543,2.4,0.6928203230275509,0.0300816
1776296072.591213,2.4,0.6928203230275509,0.0300816
1776296074.603185,2.6,0.7211102550927978,0.032588400000000003
1776296076.5939343,5.0,1.0,0.06267
1776296078.6186137,3.2,0.8,0.0401088
1776296080.6384587,0.6,0.34641016151377546,0.0075204
1776296082.6733296,3.2,0.8,0.0401088
1776296084.6951525,2.4,0.6928203230275509,0.0300816
1776296086.7160525,1.8,0.6,0.0225612
1776296088.7440634,1.6,0.565685424949238,0.0200544
1776296090.7328928,4.2,0.916515138991168,0.052642800000000003
1776296092.7460096,3.2,0.8,0.0401088
1776296094.7853975,2.6,0.7211102550927978,0.032588400000000003
1776296096.7754133,2.8,0.7483314773547882,0.0350952
1776296098.7977781,1.6,0.565685424949238,0.0200544
1776296100.8314538,1.6,0.565685424949238,0.0200544
1776296102.8435712,1.6,0.565685424949238,0.0200544
1776296104.8531957,2.6,0.7211102550927978,0.032588400000000003
1776296106.8747654,2.0,0.6324555320336759,0.025068
1776296108.8862836,2.0,0.6324555320336759,0.025068
1776296110.920904,2.2,0.6633249580710799,0.027574800000000003
1776296112.9466205,3.0,0.7745966692414834,0.037602
1776296114.9655876,1.6,0.565685424949238,0.0200544
1776296117.0026062,1.8,0.6,0.0225612
1776296118.9836729,2.6,0.7211102550927978,0.032588400000000003
1776296121.0059452,2.2,0.6633249580710799,0.027574800000000003
1776296123.0409708,2.8,0.7483314773547882,0.0350952
1776296125.0810573,2.8,0.7483314773547882,0.0350952
1776296127.049754,3.8,0.8717797887081348,0.0476292
1776296129.077168,1.8,0.6,0.0225612
1776296131.1246548,3.4,0.8246211251235321,0.0426156
1776296133.1410186,1.8,0.6,0.0225612
1776296135.1730888,4.4,0.938083151964686,0.05514960000000001
1776296137.1453075,1.8,0.6,0.0225612
1776296139.165708,2.0,0.6324555320336759,0.025068
1776296141.201795,2.2,0.6633249580710799,0.027574800000000003
1776296143.2208323,1.2,0.4898979485566356,0.0150408
1776296145.2601147,1.8,0.6,0.0225612
1776296147.2329907,2.8,0.7483314773547882,0.0350952
1776296149.2523818,2.6,0.7211102550927978,0.032588400000000003
1776296151.3053632,1.6,0.565685424949238,0.0200544
1776296153.327881,1.6,0.565685424949238,0.0200544
1776296155.3476427,3.0,0.7745966692414834,0.037602
1776296157.3776693,2.6,0.7211102550927978,0.032588400000000003
1776296159.3680108,1.8,0.6,0.0225612
1776296161.4121423,1.8,0.6,0.0225612
1776296163.438972,1.6,0.565685424949238,0.0200544
1776296165.419667,3.0,0.7745966692414834,0.037602
1776296167.4373665,2.8,0.7483314773547882,0.0350952
1776296169.4697146,3.0,0.7745966692414834,0.037602
1776296171.4707813,2.8,0.7483314773547882,0.0350952
1776296173.4847348,1.6,0.565685424949238,0.0200544
1776296175.517719,1.8,0.6,0.0225612
1776296177.537123,2.2,0.6633249580710799,0.027574800000000003
1776296179.5511177,2.0,0.6324555320336759,0.025068
1776296181.5951023,2.4,0.6928203230275509,0.0300816
1776296183.5780027,2.2,0.6633249580710799,0.027574800000000003
1776296185.606369,3.8,0.8717797887081348,0.0476292
1776296187.6244874,2.6,0.7211102550927978,0.032588400000000003
1776296189.6437438,3.0,0.7745966692414834,0.037602
1776296191.67429,2.8,0.7483314773547882,0.0350952
1776296193.71983,1.6,0.565685424949238,0.0200544
1776296195.7230024,2.2,0.6633249580710799,0.027574800000000003
1776296197.7427113,4.4,0.938083151964686,0.05514960000000001
1776296199.7652137,3.2,0.8,0.0401088
1776296201.7421587,2.4,0.6928203230275509,0.0300816
1776296203.7611735,1.6,0.565685424949238,0.0200544
1776296205.7795594,3.4,0.8246211251235321,0.0426156
1776296207.8027842,1.8,0.6,0.0225612
1776296209.8671842,3.0,0.7745966692414834,0.037602
1776296211.842734,2.4,0.6928203230275509,0.0300816
1776296213.8554225,2.6,0.7211102550927978,0.032588400000000003
1776296215.8925493,3.2,0.8,0.0401088
1776296217.9022777,2.2,0.6633249580710799,0.027574800000000003
1776296219.9167929,2.0,0.6324555320336759,0.025068
1776296221.943086,2.8,0.7483314773547882,0.0350952
1776296223.9605527,3.2,0.8,0.0401088
1776296225.9808342,3.2,0.8,0.0401088
1776296227.9931598,2.4,0.6928203230275509,0.0300816
1776296230.0112028,3.8,0.8717797887081348,0.0476292
1776296232.0376203,1.8,0.6,0.0225612
1776296234.0787542,3.0,0.7745966692414834,0.037602
1776296236.1027763,2.4,0.6928203230275509,0.0300816
1776296238.118268,2.8,0.7483314773547882,0.0350952
1776296240.1101377,3.6,0.8485281374238569,0.0451224
1776296242.1273258,2.6,0.7211102550927978,0.032588400000000003
1776296244.142011,3.8,0.8717797887081348,0.0476292
1776296246.1949952,2.0,0.6324555320336759,0.025068
1776296248.2144196,3.0,0.7745966692414834,0.037602
1776296250.2384458,3.8,0.8717797887081348,0.0476292
1776296252.2361608,2.2,0.6633249580710799,0.027574800000000003
1776296254.2478566,2.2,0.6633249580710799,0.027574800000000003
1776296256.2734056,3.2,0.8,0.0401088
1776296258.3209372,2.4,0.6928203230275509,0.0300816
1776296260.308559,4.4,0.938083151964686,0.05514960000000001
1776296262.3263109,2.4,0.6928203230275509,0.0300816
1776296264.3785362,3.2,0.8,0.0401088
1776296266.3986418,2.6,0.7211102550927978,0.032588400000000003
1776296268.3681498,1.8,0.6,0.0225612
1776296270.4167073,3.0,0.7745966692414834,0.037602
1776296272.4331555,2.6,0.7211102550927978,0.032588400000000003
1776296274.4463353,2.6,0.7211102550927978,0.032588400000000003
1776296276.4789104,2.2,0.6633249580710799,0.027574800000000003
1776296278.4918785,1.6,0.565685424949238,0.0200544
1776296280.5370014,3.2,0.8,0.0401088
1776296282.5431416,2.4,0.6928203230275509,0.0300816
1776296284.5609877,3.8,0.8717797887081348,0.0476292
1776296286.587349,2.2,0.6633249580710799,0.027574800000000003
1776296288.5863972,1.6,0.565685424949238,0.0200544
1776296290.6080565,2.8,0.7483314773547882,0.0350952
1776296292.6247413,2.8,0.7483314773547882,0.0350952
1776296294.6538491,1.0,0.447213595499958,0.012534
1776296296.6312346,1.4,0.5291502622129182,0.0175476
1776296298.6991813,2.4,0.6928203230275509,0.0300816
1776296300.6941679,2.4,0.6928203230275509,0.0300816
1776296302.7065709,1.6,0.565685424949238,0.0200544
1776296304.7238328,3.6,0.8485281374238569,0.0451224
1776296306.7601988,2.4,0.6928203230275509,0.0300816
1776296308.7776845,2.2,0.6633249580710799,0.027574800000000003
1776296310.8052628,2.0,0.6324555320336759,0.025068
1776296312.8327515,1.2,0.4898979485566356,0.0150408
1776296314.8457723,2.6,0.7211102550927978,0.032588400000000003
1776296316.837549,3.8,0.8717797887081348,0.0476292
1776296318.8526952,2.0,0.6324555320336759,0.025068
1776296320.8845463,1.8,0.6,0.0225612
1776296322.9195504,1.8,0.6,0.0225612
1776296324.9420958,2.0,0.6324555320336759,0.025068
1776296326.912158,3.6,0.8485281374238569,0.0451224
1776296328.9535012,2.8,0.7483314773547882,0.0350952
1776296330.9855123,3.0,0.7745966692414834,0.037602
1776296333.0088234,2.6,0.7211102550927978,0.032588400000000003
1776296335.0029495,2.6,0.7211102550927978,0.032588400000000003
1776296337.0311465,2.2,0.6633249580710799,0.027574800000000003
1776296339.0432475,2.8,0.7483314773547882,0.0350952
1776296341.0582628,2.2,0.6633249580710799,0.027574800000000003
1776296343.0793083,3.6,0.8485281374238569,0.0451224
1776296345.1069968,3.2,0.8,0.0401088
1776296347.1319377,3.2,0.8,0.0401088
1776296349.1447833,1.6,0.565685424949238,0.0200544
1776296351.182066,2.4,0.6928203230275509,0.0300816
1776296353.1993659,3.0,0.7745966692414834,0.037602
1776296355.221386,2.6,0.7211102550927978,0.032588400000000003
1776296357.246005,2.0,0.6324555320336759,0.025068
1776296359.2666733,2.2,0.6633249580710799,0.027574800000000003
1776296361.2413542,2.6,0.7211102550927978,0.032588400000000003
1776296363.292089,1.8,0.6,0.0225612
1776296365.3138459,4.0,0.894427190999916,0.050136
1776296367.3298423,3.2,0.8,0.0401088
1776296369.3471181,5.2,1.0198039027185568,0.06517680000000001
1776296371.372756,3.8,0.8717797887081348,0.0476292
1776296373.396824,2.8,0.7483314773547882,0.0350952
1776296375.4029796,3.6,0.8485281374238569,0.0451224
1776296377.4167335,2.8,0.7483314773547882,0.0350952
1776296379.4304752,4.2,0.916515138991168,0.052642800000000003
1776296381.469064,1.8,0.6,0.0225612
1776296383.4823892,3.4,0.8246211251235321,0.0426156
1776296385.5204587,2.6,0.7211102550927978,0.032588400000000003
1776296387.4851146,2.0,0.6324555320336759,0.025068
1776296389.501802,2.8,0.7483314773547882,0.0350952
1776296391.5344796,3.8,0.8717797887081348,0.0476292
1776296393.54856,4.0,0.894427190999916,0.050136
1776296395.575433,3.0,0.7745966692414834,0.037602
1776296397.605533,2.2,0.6633249580710799,0.027574800000000003
1776296399.6234019,2.6,0.7211102550927978,0.032588400000000003
1776296401.659038,3.4,0.8246211251235321,0.0426156
1776296403.6734889,3.2,0.8,0.0401088
1776296405.6974025,2.6,0.7211102550927978,0.032588400000000003
1776296407.6828516,2.6,0.7211102550927978,0.032588400000000003
1776296409.6975615,3.2,0.8,0.0401088
1776296411.725174,2.8,0.7483314773547882,0.0350952
1776296413.7470508,3.4,0.8246211251235321,0.0426156
1776296415.7729967,2.6,0.7211102550927978,0.032588400000000003
1776296417.7870557,3.2,0.8,0.0401088
1776296419.82338,3.0,0.7745966692414834,0.037602
1776296421.8460433,2.2,0.6633249580710799,0.027574800000000003
1776296423.8633354,3.2,0.8,0.0401088
1776296425.893099,2.2,0.6633249580710799,0.027574800000000003
1776296427.9111912,4.0,0.894427190999916,0.050136
1776296429.9400845,2.4,0.6928203230275509,0.0300816
1776296431.925371,3.8,0.8717797887081348,0.0476292
1776296433.945714,1.8,0.6,0.0225612
1776296435.980907,3.0,0.7745966692414834,0.037602
1776296437.99995,4.2,0.916515138991168,0.052642800000000003
1776296440.0209093,2.0,0.6324555320336759,0.025068
1776296442.0082724,2.8,0.7483314773547882,0.0350952
1776296444.024071,2.6,0.7211102550927978,0.032588400000000003
1776296446.0645587,3.4,0.8246211251235321,0.0426156
1776296448.0916364,2.2,0.6633249580710799,0.027574800000000003
1776296450.1111174,3.4,0.8246211251235321,0.0426156
1776296452.143389,2.2,0.6633249580710799,0.027574800000000003
1776296454.117158,3.0,0.7745966692414834,0.037602
1776296456.1544955,2.4,0.6928203230275509,0.0300816
1776296458.1697187,1.4,0.5291502622129182,0.0175476
1776296460.1948745,1.4,0.5291502622129182,0.0175476
1776296462.2288268,2.0,0.6324555320336759,0.025068
1776296464.2489357,1.8,0.6,0.0225612
1776296466.2692366,2.2,0.6633249580710799,0.027574800000000003
1776296468.2558475,2.0,0.6324555320336759,0.025068
1776296470.2857277,1.4,0.5291502622129182,0.0175476
1776296472.3003774,2.2,0.6633249580710799,0.027574800000000003
1776296474.3316505,0.8,0.4,0.0100272
1776296476.3632424,0.8,0.4,0.0100272
1776296478.376779,1.8,0.6,0.0225612
1776296480.3582578,2.0,0.6324555320336759,0.025068
1776296482.4205852,2.4,0.6928203230275509,0.0300816
1776296484.4337466,2.6,0.7211102550927978,0.032588400000000003
1776296486.4649358,2.4,0.6928203230275509,0.0300816
1776296488.4825714,2.6,0.7211102550927978,0.032588400000000003
1776296490.4689357,2.2,0.6633249580710799,0.027574800000000003
1776296492.49426,1.6,0.565685424949238,0.0200544
1776296494.51524,1.4,0.5291502622129182,0.0175476
1776296496.560215,1.2,0.4898979485566356,0.0150408
1776296498.5770903,2.4,0.6928203230275509,0.0300816
1776296500.595793,2.4,0.6928203230275509,0.0300816
1776296502.5659125,1.2,0.4898979485566356,0.0150408
1776296504.633469,2.2,0.6633249580710799,0.027574800000000003
1776296506.6520524,1.4,0.5291502622129182,0.0175476
1776296508.6246371,2.4,0.6928203230275509,0.0300816
1776296510.6432862,3.0,0.7745966692414834,0.037602
1776296512.6695006,1.4,0.5291502622129182,0.0175476
1776296514.6841,3.8,0.8717797887081348,0.0476292
1776296516.7209635,2.6,0.7211102550927978,0.032588400000000003
1776296518.735507,2.2,0.6633249580710799,0.027574800000000003
1776296520.7723567,1.8,0.6,0.0225612
1776296522.7902293,0.8,0.4,0.0100272
1776296524.772035,1.8,0.6,0.0225612
1776296526.7970088,1.8,0.6,0.0225612
1776296528.8242893,1.0,0.447213595499958,0.012534
1776296530.8460984,1.0,0.447213595499958,0.012534
1776296532.8707647,1.2,0.4898979485566356,0.0150408
1776296534.8888948,2.0,0.6324555320336759,0.025068
1776296536.9173312,0.2,0.2,0.0025068
1776296538.9296923,1.8,0.6,0.0225612
1776296540.9662273,1.6,0.565685424949238,0.0200544
1776296542.9805198,1.2,0.4898979485566356,0.0150408
1776296545.0025163,0.8,0.4,0.0100272
1776296547.030598,2.0,0.6324555320336759,0.025068
1776296549.0041735,1.6,0.565685424949238,0.0200544
1776296551.0449939,1.2,0.4898979485566356,0.0150408
1776296553.0586495,1.6,0.565685424949238,0.0200544
1776296555.0797217,3.0,0.7745966692414834,0.037602
1776296557.1260195,1.4,0.5291502622129182,0.0175476
1776296559.1423137,3.4,0.8246211251235321,0.0426156
1776296561.1302865,3.0,0.7745966692414834,0.037602
1776296563.1428623,1.8,0.6,0.0225612
1776296565.1640723,2.8,0.7483314773547882,0.0350952
1776296567.1808264,3.8,0.8717797887081348,0.0476292
1776296569.208942,0.8,0.4,0.0100272
1776296571.2378247,3.4,0.8246211251235321,0.0426156
1776296573.273659,4.4,0.938083151964686,0.05514960000000001
1776296575.290368,2.2,0.6633249580710799,0.027574800000000003
1776296577.3231187,2.4,0.6928203230275509,0.0300816
1776296579.3000243,2.2,0.6633249580710799,0.027574800000000003
1776296581.3278394,1.8,0.6,0.0225612
1776296583.3474429,3.6,0.8485281374238569,0.0451224
1776296585.3881834,3.0,0.7745966692414834,0.037602
1776296587.39968,3.0,0.7745966692414834,0.037602
1776296589.4194098,2.8,0.7483314773547882,0.0350952
1776296591.4117417,1.4,0.5291502622129182,0.0175476
